phase,case,variant,training_seed,returncode,skipped,outdir,log
selection,case2,no_gru,8301,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/selection/no_gru/case2/seed8301,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/selection/no_gru/case2/seed8301/selection_runner.log
selection,case2,no_trust,8302,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/selection/no_trust/case2/seed8302,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/selection/no_trust/case2/seed8302/selection_runner.log
selection,case2,full,8302,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/selection/full/case2/seed8302,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/selection/full/case2/seed8302/selection_runner.log
selection,case2,no_gru,8302,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/selection/no_gru/case2/seed8302,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/selection/no_gru/case2/seed8302/selection_runner.log
selection,case2,no_attention_residual,8302,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/selection/no_attention_residual/case2/seed8302,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/selection/no_attention_residual/case2/seed8302/selection_runner.log
selection,case2,full,8303,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/selection/full/case2/seed8303,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/selection/full/case2/seed8303/selection_runner.log
selection,case2,no_trust,8303,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/selection/no_trust/case2/seed8303,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/selection/no_trust/case2/seed8303/selection_runner.log
selection,case2,no_gru,8303,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/selection/no_gru/case2/seed8303,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/selection/no_gru/case2/seed8303/selection_runner.log
selection,case2,no_attention_residual,8303,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/selection/no_attention_residual/case2/seed8303,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/selection/no_attention_residual/case2/seed8303/selection_runner.log
evaluation,case1,no_trust,8301,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_trust/case1/seed8301,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_trust/case1/seed8301/evaluation_runner.log
evaluation,case1,full,8301,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/full/case1/seed8301,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/full/case1/seed8301/evaluation_runner.log
evaluation,case1,no_attention_residual,8301,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_attention_residual/case1/seed8301,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_attention_residual/case1/seed8301/evaluation_runner.log
evaluation,case1,no_gru,8301,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_gru/case1/seed8301,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_gru/case1/seed8301/evaluation_runner.log
evaluation,case1,no_trust,8302,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_trust/case1/seed8302,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_trust/case1/seed8302/evaluation_runner.log
evaluation,case1,full,8302,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/full/case1/seed8302,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/full/case1/seed8302/evaluation_runner.log
evaluation,case1,no_gru,8302,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_gru/case1/seed8302,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_gru/case1/seed8302/evaluation_runner.log
evaluation,case1,no_attention_residual,8302,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_attention_residual/case1/seed8302,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_attention_residual/case1/seed8302/evaluation_runner.log
evaluation,case1,full,8303,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/full/case1/seed8303,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/full/case1/seed8303/evaluation_runner.log
evaluation,case1,no_trust,8303,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_trust/case1/seed8303,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_trust/case1/seed8303/evaluation_runner.log
evaluation,case1,no_gru,8303,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_gru/case1/seed8303,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_gru/case1/seed8303/evaluation_runner.log
evaluation,case1,no_attention_residual,8303,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_attention_residual/case1/seed8303,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_attention_residual/case1/seed8303/evaluation_runner.log
evaluation,case2,full,8301,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/full/case2/seed8301,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/full/case2/seed8301/evaluation_runner.log
evaluation,case2,no_trust,8301,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_trust/case2/seed8301,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_trust/case2/seed8301/evaluation_runner.log
evaluation,case2,no_gru,8301,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_gru/case2/seed8301,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_gru/case2/seed8301/evaluation_runner.log
evaluation,case2,no_attention_residual,8301,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_attention_residual/case2/seed8301,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_attention_residual/case2/seed8301/evaluation_runner.log
evaluation,case2,full,8302,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/full/case2/seed8302,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/full/case2/seed8302/evaluation_runner.log
evaluation,case2,no_trust,8302,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_trust/case2/seed8302,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_trust/case2/seed8302/evaluation_runner.log
evaluation,case2,no_gru,8302,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_gru/case2/seed8302,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_gru/case2/seed8302/evaluation_runner.log
evaluation,case2,no_attention_residual,8302,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_attention_residual/case2/seed8302,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_attention_residual/case2/seed8302/evaluation_runner.log
evaluation,case2,full,8303,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/full/case2/seed8303,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/full/case2/seed8303/evaluation_runner.log
evaluation,case2,no_trust,8303,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_trust/case2/seed8303,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_trust/case2/seed8303/evaluation_runner.log
evaluation,case2,no_gru,8303,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_gru/case2/seed8303,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_gru/case2/seed8303/evaluation_runner.log
evaluation,case2,no_attention_residual,8303,0,False,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_attention_residual/case2/seed8303,/home/a2rl/reviewer_xiu_ablation_20260729/formal_evaluation_n100/evaluation/no_attention_residual/case2/seed8303/evaluation_runner.log
